topic	case	argued	decided	opinion
criminal	Mapp v. Ohio	Argued: March 29, 1961	Decided: June 19, 1961	Opinion, Clark
criminal	Hoyt v. Florida	Argued: October 19, 1961	Decided: November 20, 1961	Opinion, Harlan
criminal	Robinson v. California	Argued: April 17, 1962	Decided: June 25, 1962	Opinion, Stewart
criminal	Gideon v. Wainwright	Argued: January 15, 1963	Decided: March 18, 1963	Opinion, Black
criminal	Malloy v. Hogan	Argued: March 5, 1964	Decided: June 15, 1964	Opinion, Brennan
criminal	Jacobellis v. Ohio	Argued: March 26, 1963	Decided: June 22, 1964	Opinion, Brennan
criminal	Escobedo v. Illinois	Argued: April 29, 1964	Decided: June 22, 1964	Opinion, Goldberg
criminal	Cox v. Louisiana	Argued: October 21-22, 1964	Decided: January 18, 1965	Opinion, Goldberg
criminal	Pointer v. Texas	Argued: March 15, 1965	Decided: April 5, 1965	Opinion, Black
criminal	United States v. Brown	Argued: March 29, 1965	Decided: June 7, 1965	Opinion, Warren
criminal	Griswold v. Connecticut	Argued: March 29-30, 1965	Decided: June 7, 1965	Opinion, Douglas
criminal	United States v. Guest	Argued: November 9, 1965	Decided: March 28, 1966	Opinion, Stewart
criminal	Miranda v. Arizona	Argued: February 28-March 1, 1966	Decided: June 13, 1966  [*]	Opinion, Warren
criminal	In re Gault	Argued: December 6, 1966	Decided: May 15, 1967	Opinion, Fortas
criminal	Warden v. Hayden	Argued: April 12, 1967	Decided: May 29, 1967	Opinion, Brennan
criminal	Loving v. Virginia	Argued: April 10, 1967	Decided: June 12, 1967	Opinion, Warren
criminal	Berger v. New York	Argued: April 13, 1967	Decided: June 12, 1967	Opinion, Clark
criminal	Katz v. United States	Argued: October 17, 1967	Decided: December 18, 1967	Opinion, Stewart
criminal	Duncan v. Louisiana	Argued: January 17, 1968	Decided: May 20, 1968	Opinion, White
criminal	391 U.S. 367	NA	NA	NA
criminal	391 U.S. 510	NA	NA	NA
criminal	Terry v. Ohio	Argued: December 12, 1967	Decided: June 10, 1968	Opinion, Warren
criminal	Stanley v. Georgia	Argued: January 14-15, 1969	Decided: April 7, 1969	Opinion, Marshall
criminal	Street v. New York	Argued: October 21, 1968	Decided: April 21, 1969	Opinion, Harlan
criminal	Brandenburg v. Ohio	Argued: February 27, 1969	Decided: June 9, 1969	NA
criminal	Benton v. Maryland	Argued: December 12, 1968	Decided: June 23, 1969	Opinion, Marshall
criminal	In re Winship	Argued: January 20, 1970	Decided: March 31, 1970	Opinion, Brennan
criminal	Waller v. Florida	Argued: November 13, 1969	Decided: April 6, 1970	Opinion, Burger
criminal	Ashe v. Swenson	Argued: November 13, 1969	Decided: April 6, 1970	Opinion, Stewart
criminal	Welsh v. United States	Argued: January 20, 1970	Decided: June 15, 1970	Opinion, Black
criminal	Chambers v. Maroney	Argued: April 27, 1970	Decided: June 22, 1970	Opinion, White
criminal	Williams v. Florida	Argued: March 4, 1970	Decided: June 22, 1970	Opinion, White
criminal	Younger v. Harris	Argued: April 1, 1969	Decided: February 23, 1971	Opinion, Black
criminal	Harris v. New York	Argued: December 17, 1970	Decided: February 24, 1971	Opinion, Burger
criminal	Cohen v. California	Argued: February 22, 1971	Decided: June 7, 1971	Opinion, Harlan
criminal	406 U.S. 404	NA	NA	NA
criminal	Argersinger v. Hamlin	Argued: December 6, 1971	Decided: June 12, 1972	Opinion, Douglas
criminal	Adams v. Williams	Argued: April 10, 1972	Decided: June 12, 1972	Opinion, Rehnquist
criminal	United States v. United States District Court	Argued: February 24, 1972	Decided: June 19, 1972	Opinion, Powell
criminal	Furman v. Georgia	Argued: January 17, 1972	Decided: June 29, 1972  [*]	NA
criminal	United States v. Brewster	Argued: October 18, 1971	Decided: June 29, 1972	Opinion, Burger
criminal	410 U.S. 113	NA	NA	NA
criminal	Schneckloth v. Bustamonte	Argued: October 10, 1972	Decided: May 29, 1973	Opinion, Stewart
criminal	413 U.S. 15	NA	NA	NA
criminal	Paris Adult Theatre I v. Slaton	Argued: October 19, 1972	Decided: June 21, 1973	Opinion, Burger
criminal	United States v. Calandra	Argued: October 11, 1973	Decided: January 8, 1974	Opinion, Powell
criminal	United States v. Kahn	Argued: December 11-12, 1973	Decided: February 20, 1974	Opinion, Stewart
criminal	415 U.S. 164	NA	NA	NA
criminal	Davis v. Alaska	Argued: December 12, 1973	Decided: February 27, 1974	Opinion, Burger
criminal	415 U.S. 566	NA	NA	NA
criminal	418 U.S. 153	NA	NA	NA
criminal	Spence v. Washington	Argued: January 9, 1974	Decided: June 25, 1974	NA
criminal	United States v. Nixon	Argued: July 8, 1974	Decided: July 24, 1974  [*]	Opinion, Burger
criminal	419 U.S. 256	NA	NA	NA
criminal	Taylor v. Louisiana	Argued: October 16, 1974	Decided: January 21, 1975	Opinion, White
criminal	Murphy v. Florida	Argued: April 15, 1975	Decided: June 16, 1975	Opinion, Marshall
criminal	Bigelow v. Virginia	Argued: December 18, 1974	Decided: June 16, 1975	Opinion, Blackmun
criminal	United States v. Watson	Argued: October 8, 1975	Decided: January 26, 1976	Opinion, White
criminal	Doyle v. Ohio	Argued: February 23, 1976	Decided: June 17, 1976  [*]	Opinion, Powell
criminal	427 U.S. 539	NA	NA	NA
criminal	Gregg v. Georgia	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
criminal	Proffitt v. Florida	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
criminal	428 U.S. 262	NA	NA	NA
criminal	Woodson v. North Carolina	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
criminal	South Dakota v. Opperman	Argued: March 29, 1976	Decided: July 6, 1976	Opinion, Burger
criminal	Estelle v. Gamble	Argued: October 5, 1976	Decided: November 30, 1976	Opinion, Marshall
criminal	Brewer v. Williams	Argued: October 4, 1976	Decided: March 23, 1977	Opinion, Stewart
criminal	430 U.S. 482	NA	NA	NA
criminal	431 U.S. 494	NA	NA	NA
criminal	Coker v. Georgia	Argued: March 28, 1977	Decided: June 29, 1977	Opinion, White
criminal	Ballew v. Georgia	Argued: November 1, 1977	Decided: March 21, 1978	Opinion, Blackmun
criminal	Crist v. Bretz	Argued: November 1, 1977	Decided: June 14, 1978	Opinion, Stewart
criminal	Mincey v. Arizona	Argued: February 21, 1978	Decided: June 21, 1978	Opinion, Stewart
criminal	Lockett v. Ohio	Argued: January 17, 1978	Decided: July 3, 1978	Opinion, Burger
criminal	Bell v. Ohio	Argued: January 17, 1978	Decided: July 3, 1978	Opinion, Burger
criminal	Delaware v. Prouse	Argued: January 17, 1979	Decided: March 27, 1979	Opinion, White
criminal	Burch v. Louisiana	Argued: February 22, 1979	Decided: April 17, 1979	Opinion, Rehnquist
criminal	Brown v. Texas	Argued: February 21, 1979	Decided: June 25, 1979	Opinion, Burger
criminal	Gannett Co., Inc. v. DePasquale	Argued: November 7, 1978	Decided: July 2, 1979	Opinion, Stewart
criminal	Rhode Island v. Innis	Argued: October 30, 1979	Decided: May 12, 1980	Opinion, Stewart
criminal	United States v. Mendenhall	Argued: February 19, 1980	Decided: May 27, 1980	Opinion, Stewart
criminal	Ohio v. Roberts	Argued: November 26, 1979	Decided: June 25, 1980	Opinion, Blackmun
criminal	448 U.S. 555	NA	NA	NA
criminal	Chandler v. Florida	Argued: November 12, 1980	Decided: January 26, 1981	Opinion, Burger
criminal	Schad v. Borough of Mount Ephraim	Argued: February 25, 1981	Decided: June 1, 1981	Opinion, White
criminal	455 U.S. 1	NA	NA	NA
criminal	455 U.S. 104	NA	NA	NA
criminal	Globe Newspaper Co. v. Superior Court	Argued: March 29, 1982	Decided: June 23, 1982	Opinion, Brennan
criminal	458 U.S. 747	NA	NA	NA
criminal	Enmund v. Florida	Argued: March 23, 1982	Decided: July 2, 1982	Opinion, White
criminal	Illinois v. Gates	Argued: October 13, 1982	Decided: June 8, 1983	Opinion, Rehnquist
criminal	463 U.S. 1032	NA	NA	NA
criminal	Pulley v. Harris	Argued: November 7, 1983	Decided: January 23, 1984	Opinion, White
criminal	Oliver v. United States	Argued: November 9, 1983	Decided: April 17, 1984  [*]	Opinion, Powell
criminal	466 U.S. 380	NA	NA	NA
criminal	Waller v. Georgia	Argued: March 27, 1984	Decided: May 21, 1984  [*]	Opinion, Powell
criminal	United States v. Leon	Argued: January 17, 1984	Decided: July 5, 1984	Opinion, White
criminal	468 U.S. 981	NA	NA	NA
criminal	California v. Carney	Argued: October 30, 1984	Decided: May 13, 1985	Opinion, Burger
criminal	New York v. Class	Argued: November 4, 1985	Decided: February 25, 1986	Opinion, O'Connor
criminal	Nix v. Whiteside	Argued: November 5, 1985	Decided: February 26, 1986	Opinion, Burger
criminal	Batson v. Kentucky	Argued: December 12, 1985	Decided: April 30, 1986	Opinion, Powell
criminal	Lockhart v. McCree	Argued: January 13, 1986	Decided: May 5, 1986	Opinion, Rehnquist
criminal	California v. Ciraolo	Argued: December 10, 1985	Decided: May 19, 1986	Opinion, Burger
criminal	Ford v. Wainwright	Argued: April 22, 1986	Decided: June 26, 1986	Opinion, Marshall
criminal	Press-Enterprise Co. v. Superior Court	Argued: February 26, 1986	Decided: June 30, 1986	Opinion, Burger
criminal	Bowers v. Hardwick	Argued: March 31, 1986	Decided: June 30, 1986	Opinion, White
criminal	McCleskey v. Kemp	Argued: October 15, 1986	Decided: April 22, 1987	Opinion, Powell
criminal	United States v. Salerno	Argued: January 21, 1987	Decided: May 26, 1987	Opinion, Rehnquist
criminal	482 U.S. 496	NA	NA	NA
criminal	Puerto Rico v. Branstad	Argued: March 30, 1987	Decided: June 23, 1987	Opinion, Marshall
criminal	486 U.S. 35	NA	NA	NA
criminal	Thompson v. Oklahoma	Argued: November 9, 1987	Decided: June 29, 1988	Opinion, Stevens
criminal	South Carolina v. Gathers	Argued: March 28, 1989	Decided: June 12, 1989	Opinion, Brennan
criminal	Texas v. Johnson	Argued: March 21, 1989	Decided: June 21, 1989	Opinion, Brennan
criminal	491 U.S. 576	NA	NA	NA
criminal	Penry v. Lynaugh	Argued: January 11, 1989	Decided: June 26, 1989	Opinion, O'Connor
criminal	Stanford v. Kentucky	Argued: March 27, 1989	Decided: June 26, 1989 [*]	Opinion, Scalia
criminal	Osborne v. Ohio	Argued: Dec. 5, 1989	Decided: April 18, 1990	Opinion, White
criminal	Michigan Dep't of State Police v. Sitz	Argued: Feb. 27, 1990	Decided: June 14, 1990	Opinion, Rehnquist
criminal	Maryland v. Craig	Argued: April 18, 1990	Decided: 	Opinion, O'Connor
criminal	Ford v. Georgia	Argued: Nov. 6, 1990	Decided: Feb. 19, 1991	Opinion, Souter
criminal	Arizona v. Fulminante	Argued: Oct. 10, 1990	Decided: March 26, 1991	Opinion, White
criminal	Powers v. Ohio	Argued: Oct. 9, 1990	Decided: April 1, 1991	Opinion, Kennedy
criminal	Florida v. Bostick	Argued: Feb. 26, 1991	Decided: June 20, 1991	Opinion, O'Connor
criminal	501 U.S. 957	NA	NA	NA
criminal	Dawson v. Delaware	Argued: Nov. 12, 1991	Decided: March 9, 1992	Opinion, Rehnquist
criminal	Jacobson v. United States	Argued: Nov. 6, 1991	Decided: April 6, 1992	Opinion, White
criminal	Gomez v. United States District Court for the Northern District of California	Argued: 	Decided: April 21, 1992	NA
criminal	505 U.S. 42	NA	NA	NA
criminal	Helling v. McKinney	Argued: Jan. 13, 1993	Decided: June 18, 1993	Opinion, White
criminal	517 U.S. 456	NA	NA	NA
criminal	519 U.S. 33	NA	NA	NA
criminal	United States v. Bajakajian	Argued: November 4, 1997	Decided: June 22, 1998	Opinion, Thomas
criminal	CHICAGO v. MORALES	NA	NA	Opinion, Stevens
criminal_procedure	Hurtado v. California	Argued: January 22d, 23d 1884.	Decided: March 3d, 1884	Opinion, Matthews
criminal_procedure	Betts v. Brady	Argued: April 13, 14, 1942	Decided: June 1, 1942	Opinion, Roberts
criminal_procedure	Brinegar v. United States	Argued: October 18-19, 1948	Decided: June 27, 1949	Opinion, Rutledge
criminal_procedure	Massiah v. United States	Argued: March 3, 1964	Decided: May 18, 1964	Opinion, Stewart
criminal_procedure	Johnson v. Louisiana	Argued: March 1, 1971	Decided: May 22, 1972	Opinion, White
criminal_procedure	Argersinger v. Hamlin	Argued: December 6, 1971	Decided: June 12, 1972	Opinion, Douglas
criminal_procedure	517 U.S. 456	NA	NA	NA
criminal_procedure	529 U.S. 266	NA	NA	NA
cruel_and_unusual_punishment	Louisiana ex rel. Francis v. Resweber	Argued: November 18, 1946	Decided: January 13, 1947	Opinion, Reed
cruel_and_unusual_punishment	Trop v. Dulles	Argued: May 2, 1957	Decided: March 31, 1958	Opinion, Warren
cruel_and_unusual_punishment	Robinson v. California	Argued: April 17, 1962	Decided: June 25, 1962	Opinion, Stewart
cruel_and_unusual_punishment	Powell v. Texas	Argued: March 7, 1968	Decided: June 17, 1968	Opinion, Marshall
cruel_and_unusual_punishment	Furman v. Georgia	Argued: January 17, 1972	Decided: June 29, 1972  [*]	NA
cruel_and_unusual_punishment	Gregg v. Georgia	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
cruel_and_unusual_punishment	Proffitt v. Florida	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
cruel_and_unusual_punishment	428 U.S. 262	NA	NA	NA
cruel_and_unusual_punishment	Woodson v. North Carolina	Argued: March 31, 1976	Decided: July 2, 1976	Opinion, Stewart, et.al
cruel_and_unusual_punishment	Estelle v. Gamble	Argued: October 5, 1976	Decided: November 30, 1976	Opinion, Marshall
cruel_and_unusual_punishment	430 U.S. 651	NA	NA	NA
cruel_and_unusual_punishment	Coker v. Georgia	Argued: March 28, 1977	Decided: June 29, 1977	Opinion, White
cruel_and_unusual_punishment	Lockett v. Ohio	Argued: January 17, 1978	Decided: July 3, 1978	Opinion, Burger
cruel_and_unusual_punishment	Bell v. Ohio	Argued: January 17, 1978	Decided: July 3, 1978	Opinion, Burger
cruel_and_unusual_punishment	455 U.S. 104	NA	NA	NA
cruel_and_unusual_punishment	Enmund v. Florida	Argued: March 23, 1982	Decided: July 2, 1982	Opinion, White
cruel_and_unusual_punishment	Whitley v. Albers	Argued: December 10, 1985	Decided: March 4, 1986	Opinion, O'Connor
cruel_and_unusual_punishment	Ford v. Wainwright	Argued: April 22, 1986	Decided: June 26, 1986	Opinion, Marshall
cruel_and_unusual_punishment	McCleskey v. Kemp	Argued: October 15, 1986	Decided: April 22, 1987	Opinion, Powell
cruel_and_unusual_punishment	Thompson v. Oklahoma	Argued: November 9, 1987	Decided: June 29, 1988	Opinion, Stevens
cruel_and_unusual_punishment	Penry v. Lynaugh	Argued: January 11, 1989	Decided: June 26, 1989	Opinion, O'Connor
cruel_and_unusual_punishment	Stanford v. Kentucky	Argued: March 27, 1989	Decided: June 26, 1989 [*]	Opinion, Scalia
cruel_and_unusual_punishment	501 U.S. 294	NA	NA	NA
cruel_and_unusual_punishment	501 U.S. 957	NA	NA	NA
cruel_and_unusual_punishment	Hudson v. McMillian	Argued: Nov. 13, 1991	Decided: Feb. 25, 1992	Opinion, O'Connor
cruel_and_unusual_punishment	Dawson v. Delaware	Argued: Nov. 12, 1991	Decided: March 9, 1992	Opinion, Rehnquist
cruel_and_unusual_punishment	Gomez v. United States District Court for the Northern District of California	Argued: 	Decided: April 21, 1992	NA
cruel_and_unusual_punishment	Helling v. McKinney	Argued: Jan. 13, 1993	Decided: June 18, 1993	Opinion, White
cruel_and_unusual_punishment	NA	NA	NA	NA
damages	National Association for the Advancement of Colored People v. Claiborne Hardware Co.	Argued: March 3, 1982	Decided: July 2, 1982	Opinion, Stevens
damages	Franklin v. Gwinnett County Public Schools	Argued: Dec. 11, 1991	Decided: 	Opinion, White
damages	BMW of North America, Inc. v. Gore	Argued: October 11, 1995	Decided: May 20, 1996	Opinion, Stevens
discrimination	Plessy v. Ferguson	Argued: April 18, 1896	Decided: May 18, 1896	Opinion, Brown
discrimination	Muller v. Oregon	Argued: January 15, 1908	Decided: February 24, 1908	Opinion, Brewer
discrimination	Buck v. Bell	Argued: April 22, 1927	Decided: May 2, 1927	Opinion, Holmes
discrimination	Norris v. Alabama	Argued: February 15, 18, 1935	Decided: April 1, 1935	Opinion, Hughes
discrimination	Missouri ex rel. Gaines v. Canada	Argued: November 9, 1938	Decided: December 12, 1938	Opinion, Hughes
discrimination	Smith v. Allwright	Argued: November 10, 12, 1943	Decided: April 3, 1944	Opinion, Reed
discrimination	Korematsu v. United States	Argued: October 11, 12, 1944	Decided: December 18, 1944	Opinion, Black
discrimination	Morgan v. Virginia	Argued: March 27, 1946	Decided: June 3, 1946	Opinion, Reed
discrimination	334 U.S. 1	NA	NA	NA
discrimination	Terry v. Adams	Argued: January 16, 1953	Decided: May 4, 1953	Opinion, Black
discrimination	Brown v. Board of Education	Argued: Argued December 9, 1952	Decided: Decided May 17, 1954	Opinion, Warren
discrimination	Brown v. Board of Education	Argued: Reargued on the question of relief April 11-14, 1955	Decided: Opinion and judgments announced May 31, 1955	Opinion, Warren
discrimination	Hoyt v. Florida	Argued: October 19, 1961	Decided: November 20, 1961	Opinion, Harlan
discrimination	Heart of Atlanta Motel, Inc. v. United States	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
discrimination	Katzenbach v. McClung	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
discrimination	Evans v. Newton	Argued: November 9-10, 1965	Decided: January 17, 1966	Opinion, Douglas
discrimination	South Carolina v. Katzenbach	Argued: January 17-18, 1966	Decided: March 7, 1966	Opinion, Warren
discrimination	United States v. Guest	Argued: November 9, 1965	Decided: March 28, 1966	Opinion, Stewart
discrimination	Loving v. Virginia	Argued: April 10, 1967	Decided: June 12, 1967	Opinion, Warren
discrimination	Green v. County School Board of New Kent County	Argued: April 3, 1968	Decided: May 27, 1968	Opinion, Brennan
discrimination	Jones v. Alfred H. Mayer Co.	Argued: April 1-2, 1968	Decided: June 17, 1968	Opinion, Stewart
discrimination	Dandridge v. Williams	Argued: December 9, 1969	Decided: April 6, 1970	Opinion, Stewart
discrimination	Griggs v. Duke Power Co.	Argued: December 14, 1970	Decided: March 8, 1971	Opinion, Burger
discrimination	Swann v. Charlotte-Mecklenburg Board of Education	Argued: October 12, 1970	Decided: April 20, 1971  [*]	Opinion, Burger
discrimination	Reed v. Reed	Argued: October 19, 1971	Decided: November 22, 1971	Opinion, Burger
discrimination	406 U.S. 404	NA	NA	NA
